alpha,beta,gamma,tau,scf_bc
31,0.7,20,0.6,0.744254448
40,0.7,20,0.6,0.743710491
4,0.2,32,0.6,2.689923804
13,0.2,32,0.6,2.105113199
22,0.2,32,0.6,1.879839879
31,0.2,32,0.6,1.875234835
40,0.2,32,0.6,1.874570253
4,0.3,32,0.6,2.80827413
13,0.3,32,0.6,1.550331515
22,0.3,32,0.6,1.169114607
31,0.3,32,0.6,1.160866874
40,0.3,32,0.6,1.158457605
4,0.4,32,0.6,3.205502759
13,0.4,32,0.6,0.740081127
22,0.4,32,0.6,0.185171005
31,0.4,32,0.6,0.173245171
40,0.4,32,0.6,0.170506303
4,0.5,32,0.6,3.306688357
13,0.5,32,0.6,0.442470229
22,0.5,32,0.6,0.222699262
31,0.5,32,0.6,0.23676492
40,0.5,32,0.6,0.239580394
4,0.6,32,0.6,26.36132872
13,0.6,32,0.6,0.46771225
22,0.6,32,0.6,0.142170802
31,0.6,32,0.6,0.158335894
40,0.6,32,0.6,0.160648567
4,0.7,32,0.6,34.41600243
13,0.7,32,0.6,0.786470944
22,0.7,32,0.6,0.251686616
31,0.7,32,0.6,0.220686171
40,0.7,32,0.6,0.218756694
4,0.2,8,0.8,0.883458205
13,0.2,8,0.8,0.594227395
22,0.2,8,0.8,0.594058897
31,0.2,8,0.8,0.594399895
40,0.2,8,0.8,0.594654526
4,0.3,8,0.8,0.914877128
13,0.3,8,0.8,0.314971509
22,0.3,8,0.8,0.313887741
31,0.3,8,0.8,0.313994594
40,0.3,8,0.8,0.314027022
4,0.4,8,0.8,1.14992089
13,0.4,8,0.8,0.328100688
22,0.4,8,0.8,0.326827174
31,0.4,8,0.8,0.32679712
40,0.4,8,0.8,0.326622626
4,0.5,8,0.8,1.408297722
13,0.5,8,0.8,0.396229887
22,0.5,8,0.8,0.394366716
31,0.5,8,0.8,0.394220051
40,0.5,8,0.8,0.394132599
4,0.6,8,0.8,1.703370943
13,0.6,8,0.8,0.49367878
22,0.6,8,0.8,0.491636653
31,0.6,8,0.8,0.491309564
40,0.6,8,0.8,0.491037094
4,0.7,8,0.8,2.025884932
13,0.7,8,0.8,0.611137658
22,0.7,8,0.8,0.608831102
31,0.7,8,0.8,0.608261164
40,0.7,8,0.8,0.607840959
4,0.2,20,0.8,1.22899831
13,0.2,20,0.8,0.142701308
22,0.2,20,0.8,0.056040091
31,0.2,20,0.8,0.054032332
40,0.2,20,0.8,2.964236885
4,0.3,20,0.8,1.669708063
13,0.3,20,0.8,0.357098125
22,0.3,20,0.8,0.234035831
31,0.3,20,0.8,0.231783172
40,0.3,20,0.8,0.231295908
4,0.4,20,0.8,2.013434495
13,0.4,20,0.8,0.311803444
22,0.4,20,0.8,0.154070872
31,0.4,20,0.8,0.151942588
40,0.4,20,0.8,0.151230923
4,0.5,20,0.8,2.336981632
13,0.5,20,0.8,0.213747533
22,0.5,20,0.8,0.03062384
31,0.5,20,0.8,0.028740078
40,0.5,20,0.8,0.028002839
4,0.6,20,0.8,2.478793276
13,0.6,20,0.8,0.254439736
22,0.6,20,0.8,0.064372934
31,0.6,20,0.8,0.062937747
40,0.6,20,0.8,0.062147498
4,0.7,20,0.8,2.526349647
13,0.7,20,0.8,0.460716706
22,0.7,20,0.8,0.289696879
31,0.7,20,0.8,0.288627961
40,0.7,20,0.8,0.28790619
4,0.2,32,0.8,1.903500165
13,0.2,32,0.8,0.891725067
22,0.2,32,0.8,0.545035034
31,0.2,32,0.8,0.538101877
40,0.2,32,0.8,0.53627475
4,0.3,32,0.8,2.053962913
13,0.3,32,0.8,0.581151232
22,0.3,32,0.8,0.058414342
31,0.3,32,0.8,0.047922403
40,0.3,32,0.8,0.045133049
4,0.4,32,0.8,2.367232149
13,0.4,32,0.8,0.022730228
22,0.4,32,0.8,0.688930902
31,0.4,32,0.8,0.704524025
40,0.4,32,0.8,0.708009751
4,0.5,32,0.8,2.582959875
13,0.5,32,0.8,0.151677313
22,0.5,32,0.8,0.945648812
31,0.5,32,0.8,0.963133684
40,0.5,32,0.8,0.966618274
4,0.6,32,0.8,16.77494478
13,0.6,32,0.8,0.026245228
22,0.6,32,0.8,0.722041788
31,0.6,32,0.8,0.73887524
40,0.6,32,0.8,0.741649994
4,0.7,32,0.8,25.00981659
13,0.7,32,0.8,0.399024126
22,0.7,32,0.8,0.203248638
31,0.7,32,0.8,0.223005478
40,0.7,32,0.8,0.224691006
4,0.2,8,1,0.86476954
13,0.2,8,1,0.645504846
22,0.2,8,1,0.645687378
31,0.2,8,1,0.646393782
40,0.2,8,1,0.64630038
4,0.3,8,1,0.761563503
13,0.3,8,1,0.180266407
22,0.3,8,1,0.179874468
31,0.3,8,1,0.180326855
40,0.3,8,1,0.18051509
4,0.4,8,1,0.874976607
13,0.4,8,1,0.011674994
22,0.4,8,1,1.249353458
31,0.4,8,1,0.010995083
40,0.4,8,1,0.01159067
4,0.5,8,1,1.147651704
13,0.5,8,1,0.061943119
22,0.5,8,1,0.060387549
31,0.5,8,1,0.060513964
40,0.5,8,1,1.490873705
4,0.6,8,1,1.434666132
13,0.6,8,1,0.171406307
22,0.6,8,1,0.169171506
31,0.6,8,1,0.169726591
40,0.6,8,1,0.168996643
4,0.7,8,1,1.735811505
