alpha,beta,gamma,tau,scf_cs
31,0.6,20,0.6,18.0370392
40,0.6,20,0.6,18.03929078
4,0.7,20,0.6,16.24270397
13,0.7,20,0.6,17.21941802
22,0.7,20,0.6,17.701412
31,0.7,20,0.6,17.71649294
40,0.7,20,0.6,17.71853605
4,0.2,32,0.6,10.99412295
13,0.2,32,0.6,15.96655233
22,0.2,32,0.6,17.4477965
31,0.2,32,0.6,17.47312389
40,0.2,32,0.6,17.48407143
4,0.3,32,0.6,10.96361914
13,0.3,32,0.6,19.60302432
22,0.3,32,0.6,22.04974896
31,0.3,32,0.6,22.090457
40,0.3,32,0.6,22.10895457
4,0.4,32,0.6,9.605503997
13,0.4,32,0.6,22.21613092
22,0.4,32,0.6,25.49392302
31,0.4,32,0.6,25.54782309
40,0.4,32,0.6,25.57210091
4,0.5,32,0.6,8.161912477
13,0.5,32,0.6,23.91525477
22,0.5,32,0.6,27.67051432
31,0.5,32,0.6,27.73103244
40,0.5,32,0.6,27.75813795
4,0.6,32,0.6,34.53974561
13,0.6,32,0.6,25.24544353
22,0.6,32,0.6,29.00410639
31,0.6,32,0.6,29.06472604
40,0.6,32,0.6,29.0908468
4,0.7,32,0.6,27.10958765
13,0.7,32,0.6,25.80228167
22,0.7,32,0.6,29.0115326
31,0.7,32,0.6,29.07104796
40,0.7,32,0.6,29.0927163
4,0.2,8,0.8,3.670802349
13,0.2,8,0.8,4.75254366
22,0.2,8,0.8,4.754499747
31,0.2,8,0.8,4.755746467
40,0.2,8,0.8,4.754967894
4,0.3,8,0.8,4.861685379
13,0.3,8,0.8,6.638703843
22,0.3,8,0.8,6.643487045
31,0.3,8,0.8,6.643811133
40,0.3,8,0.8,6.643102927
4,0.4,8,0.8,4.91353745
13,0.4,8,0.8,7.164399723
22,0.4,8,0.8,7.169261887
31,0.4,8,0.8,7.168580766
40,0.4,8,0.8,7.16889382
4,0.5,8,0.8,5.155045622
13,0.5,8,0.8,7.811431204
22,0.5,8,0.8,7.817174897
31,0.5,8,0.8,7.81676869
40,0.5,8,0.8,7.817456773
4,0.6,8,0.8,5.209000563
13,0.6,8,0.8,8.062762846
22,0.6,8,0.8,8.068055136
31,0.6,8,0.8,8.068249153
40,0.6,8,0.8,8.068600785
4,0.7,8,0.8,5.768346868
13,0.7,8,0.8,8.916015388
22,0.7,8,0.8,8.918909966
31,0.7,8,0.8,8.835486865
40,0.7,8,0.8,8.715479445
4,0.2,20,0.8,9.246258022
13,0.2,20,0.8,13.93111139
22,0.2,20,0.8,14.27041349
31,0.2,20,0.8,14.28089248
40,0.2,20,0.8,10.00807199
4,0.3,20,0.8,9.919779904
13,0.3,20,0.8,17.89033173
22,0.3,20,0.8,18.44417881
31,0.3,20,0.8,18.46078073
40,0.3,20,0.8,18.4628099
4,0.4,20,0.8,9.64691797
13,0.4,20,0.8,20.90667643
22,0.4,20,0.8,21.63481585
31,0.4,20,0.8,21.6559297
40,0.4,20,0.8,21.65891008
4,0.5,20,0.8,8.93372231
13,0.5,20,0.8,22.98236535
22,0.5,20,0.8,23.79846935
31,0.5,20,0.8,23.82160916
40,0.5,20,0.8,23.82492857
4,0.6,20,0.8,8.39957705
13,0.6,20,0.8,24.03441702
22,0.6,20,0.8,24.82311234
31,0.6,20,0.8,24.84505546
40,0.6,20,0.8,24.84828165
4,0.7,20,0.8,8.399837563
13,0.7,20,0.8,24.08912515
22,0.7,20,0.8,24.7335215
31,0.7,20,0.8,24.75165409
40,0.7,20,0.8,24.75406544
4,0.2,32,0.8,14.7788329
